id,dvd_status,dvd_haulage,dvd_lat,dvd_ph,dvd_tds,dvd_temp,dvd_ammonia,dvd_long,dvd_mileage,dvd_speed,dvd_meter_reading,dvd_bearing,dvd_bettery,dvd_created_at,dvd_updated_at,dvd_do,dvd_alkalinity,dvd_hardness,company_id,dvd_dev_id,dvd_dvg_id
436,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.704884",8.619,99.99,153.94,1,2,1
437,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.743448",8.619,99.99,153.94,1,2,1
438,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.784555",8.619,99.99,153.94,1,2,1
439,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.826404",8.619,99.99,153.94,1,2,1
440,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.868477",8.619,99.99,153.94,1,2,1
441,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.907092",8.619,99.99,153.94,1,2,1
442,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.945009",8.619,99.99,153.94,1,2,1
443,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:00.000000","2023-06-20 09:28:00.984603",8.619,99.99,153.94,1,2,1
444,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.019146",8.619,99.99,153.94,1,2,1
445,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.049791",8.619,99.99,153.94,1,2,1
446,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.078795",8.619,99.99,153.94,1,2,1
447,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.110546",8.619,99.99,153.94,1,2,1
448,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.137064",8.619,99.99,153.94,1,2,1
449,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.162901",8.619,99.99,153.94,1,2,1
450,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.190224",8.619,99.99,153.94,1,2,1
451,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.220369",8.619,99.99,153.94,1,2,1
452,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.251043",8.619,99.99,153.94,1,2,1
453,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:28:01.000000","2023-06-20 09:28:01.279829",8.619,99.99,153.94,1,2,1
